freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev,
10,0.1,5,0.79706,0.142839850882028,-0.037999999999983,20.6437925294748,179.962
15,0.1,5,0.77238,0.146927522949242,-5.14400000000001,19.9621148679192,174.856
25,0.1,5,0.69182,0.127032739874412,-9.886,9.33680245051805,170.114
50,0.1,5,0.6413,0.05627757102079,-49.75,6.76854858887783,130.25
75,0.1,5,0.60088,0.064696151353848,-10.414,7.22651575795694,169.586
100,0.1,5,0.63862,0.06434723770295,-40.372,5.73551392640624,139.628
150,0.1,5,0.59272,0.052976475911484,-6.44999999999999,5.61437440860512,173.55
200,0.1,5,0.66506,0.033657138915838,-37.474,6.20908849993299,142.526
250,0.1,5,0.6015,0.046467461733992,-48.306,2.74356155389305,131.694
300,0.1,5,0.56496,0.08252998243063,-61.216,4.77598994973817,118.784
400,0.1,5,0.500378,0.022890793345797,-78.98,3.9154054707016,101.02
500,0.1,5,0.47254,0.009509626701401,-90.792,3.44922744973421,89.208
750,0.1,5,0.41334,0.018601693471295,-115.438,2.37538838929553,64.562
1000,0.1,5,0.38444,0.014533168959315,-130.152,1.52861702201696,49.848
1250,0.1,5,0.3666,0.005045790324617,-140.3,0.740709119695445,39.7
1500,0.1,5,0.35786,0.011253355055271,-148.256,0.544775182988357,31.744
2000,0.1,5,0.33932,0.004526256731561,-157.5,1.00092457258277,22.5
2500,0.1,5,0.3289,0.001065363787633,-164.11,0.637730350540101,15.89
3000,0.1,5,0.32156,0.001458766602305,-168.842,0.264801812682618,11.158
3500,0.1,5,0.31326,0.002281008548866,-172.676,0.18981570008827,7.324
4000,0.1,5,0.30878,0.000858487041253,-175.642,0.419130051416025,4.358
4500,0.1,5,0.30148,0.001056882207249,-177.784,0.287280350876979,2.216
5000,0.1,5,0.29448,0.001818515878402,-179.45,0.31264996401727,0.55
6000,0.1,5,0.28288,0.00074296702484,-182.308,0.249939992798271,-2.308
7000,0.1,5,0.27266,0.000829457654133,-183.9,0.145258390463339,-3.9
8000,0.1,5,0.26192,0.000855569985448,-185.016,0.204401565551735,-5.016
9000,0.1,5,0.25244,0.000904433524368,-185.284,0.207436737344184,-5.284
10000,0.1,5,0.24502,0.000870057469366,-185.348,0.117345643293648,-5.348
10,-0.1,5,0.68288,0.176175926278252,-0.234,12.5978918871373,-2.734
15,-0.1,5,0.75778,0.115022202204618,-5.562,19.4056401595,-8.062
25,-0.1,5,0.63882,0.088019810270189,-7.716,8.02364817274536,-10.216
50,-0.1,5,0.56038,0.098898543973104,-35.08,16.2668297464503,-37.58
75,-0.1,5,0.68766,0.088796694758307,8.536,7.75538715990375,6.036
100,-0.1,5,0.64322,0.057858681284661,-15.408,7.57364971463561,-17.908
150,-0.1,5,0.61088,0.034274071832801,18.206,7.2646699856222,15.706
200,-0.1,5,0.64072,0.058653533567894,-0.264,5.69962542628899,-2.764
250,-0.1,5,0.5774,0.028139918265695,-7.126,5.40204868545259,-9.626
300,-0.1,5,0.5885,0.028877240172842,-9.998,5.10131551660942,-12.498
400,-0.1,5,0.50282,0.028076182076629,-16.068,2.87037802388466,-18.568
500,-0.1,5,0.4691,0.012663925141914,-16.946,1.80272848759873,-19.446
750,-0.1,5,0.39902,0.015598782003734,-16.172,3.20489781428363,-18.672
1000,-0.1,5,0.36688,0.006935920991476,-16.002,1.15120371785362,-18.502
1250,-0.1,5,0.35312,0.005395090360689,-15.25,1.35342158989725,-17.75
1500,-0.1,5,0.33566,0.005175229463512,-14.088,1.20566164407764,-16.588
2000,-0.1,5,0.32612,0.003533694950049,-12.768,0.385966319774148,-15.268
2500,-0.1,5,0.3152,0.002297825058615,-11.678,0.160530370958271,-14.178
3000,-0.1,5,0.31144,0.002164024029441,-11.946,0.286059434383836,-14.446
3500,-0.1,5,0.30374,0.001240161279834,-11.248,0.337075659162746,-13.748
4000,-0.1,5,0.29814,0.000594138031101,-11.626,0.256281095674261,-14.126
4500,-0.1,5,0.29106,0.001677200047699,-11.756,0.273184919056671,-14.256
5000,-0.1,5,0.28608,0.001040192289916,-11.958,0.263381852070335,-14.458
6000,-0.1,5,0.27354,0.001178134118002,-11.858,0.121942609452152,-14.358
7000,-0.1,5,0.2634,0.000724568837309,-11.724,0.232335963638864,-14.224
8000,-0.1,5,0.25388,0.000476445169983,-11.26,0.071763500472037,-13.76
9000,-0.1,5,0.24538,0.000870057469366,-10.47,0.150332963783729,-12.97
10000,-0.1,5,0.2379,0.000721110255093,-9.776,0.09208691546577,-12.276
100,0.1,0.25,0.100328,0.037234271444464,-20.97,92.9354735824809,159.03
100,0.1,0.5,0.12622,0.052321019198789,-64.822,137.065137507683,115.178
100,0.1,0.75,0.182314,0.097604035674761,-38.678,64.8691588507204,141.322
100,0.1,1,0.197886,0.050459780816012,-38.484,28.1264667173109,141.516
100,0.1,1.25,0.216668,0.056404192840604,-43.04,21.2097006108054,136.96
100,0.1,1.5,0.236488,0.123185432255604,-39.202,15.8222729087827,140.798
100,0.1,1.75,0.282134,0.090146679251096,-41.724,9.26656516730983,138.276
100,0.1,2,0.2736,0.036100346258727,-53.57,14.0936475051706,126.43
100,0.1,2.5,0.3123,0.057423470811159,-45.332,13.9686602793539,134.668
100,0.1,3,0.39402,0.06022555105601,-39.62,15.3727551206672,140.38
100,0.1,3.5,0.45206,0.084871273114052,-41.234,14.3593238002352,138.766
100,0.1,4,0.5338,0.062239015095035,-46.69,9.39236924316757,133.31
100,0.1,4.5,0.55,0.098307934572953,-39.414,7.84357252787274,140.586
100,0.1,5,0.5808,0.062274071651049,-43.278,11.2412775074722,136.722
100,-0.1,0.25,0.12398,0.038503597234544,-9.496,53.6229291441637,-11.996
100,-0.1,0.5,0.14516,0.067840017688677,-54.34,22.5963536881507,-56.84
100,-0.1,0.75,0.1577,0.067786023633195,-6.754,27.7652134873838,-9.254
100,-0.1,1,0.18282,0.067810670251812,-31,40.4152526900427,-33.5
100,-0.1,1.25,0.22122,0.038122132679062,-30.578,18.9644712554819,-33.078
100,-0.1,1.5,0.2229,0.123808824402786,-8.64,33.0819308686781,-11.14
100,-0.1,1.75,0.24062,0.120240933130112,-47.242,44.2751320720786,-49.742
100,-0.1,2,0.29124,0.078693284338627,-16.984,15.1349142713132,-19.484
100,-0.1,2.5,0.30404,0.05892183805687,-23.084,14.4061143269099,-25.584
100,-0.1,3,0.39138,0.050222275934091,-25.534,11.4540224375544,-28.034
100,-0.1,3.5,0.4444,0.059458851317529,-23.364,6.85846411377941,-25.864
100,-0.1,4,0.51842,0.075434720122766,-17.162,5.2861299643501,-19.662
100,-0.1,4.5,0.4898,0.069136929350384,-23.988,6.5920421721952,-26.488
100,-0.1,5,0.57386,0.036259247096431,-15.832,7.02936839267939,-18.332
1000,0.1,0.25,0.01924,0.013802463548222,-153.154,61.6086806383646,26.846
1000,0.1,0.5,0.03666,0.010009145817701,-129.772,14.1946158806781,50.228
1000,0.1,0.75,0.05372,0.006393903346157,-131.132,9.02436535164662,48.868
1000,0.1,1,0.08136,0.009869549128506,-128.878,3.10313873360506,51.122
1000,0.1,1.25,0.09396,0.011253799358439,-123.922,3.39619198515043,56.078
1000,0.1,1.5,0.11786,0.00506487907062,-130.274,5.43094190725697,49.726
1000,0.1,1.75,0.1217,0.013435028842544,-131.554,3.18894653451575,48.446
1000,0.1,2,0.15924,0.011454387805553,-129.024,1.81118193453888,50.976
1000,0.1,2.5,0.20004,0.005314884758864,-130.822,5.01960855047483,49.178
1000,0.1,3,0.22222,0.010590656259175,-130.64,3.26245306479649,49.36
1000,0.1,3.5,0.2689,0.012370529495539,-128.5,1.11709444542527,51.5
1000,0.1,4,0.27838,0.043164070707013,-129.168,0.592722532050199,50.832
1000,0.1,4.5,0.34904,0.01003807750518,-130.686,2.40205745143616,49.314
1000,0.1,5,0.372,0.007451509914105,-130.42,0.725844335928852,49.58
1000,-0.1,0.25,0.02668,0.006812635319757,-13.2,20.7578671833115,-15.7
1000,-0.1,0.5,0.03782,0.005821254160402,-11.036,17.7458947365299,-13.536
1000,-0.1,0.75,0.05476,0.013432907354702,-22.642,6.00676868207858,-25.142
1000,-0.1,1,0.06612,0.008957789905998,-18.384,7.40622913499171,-20.884
1000,-0.1,1.25,0.09432,0.013413687039737,-14.68,3.46713137910867,-17.18
1000,-0.1,1.5,0.11164,0.00720610851986,-15.248,3.93752079359589,-17.748
1000,-0.1,1.75,0.12542,0.003495282535075,-15.796,1.79714495798197,-18.296
1000,-0.1,2,0.1581,0.007561415211453,-17.636,2.24783896220348,-20.136
1000,-0.1,2.5,0.18256,0.01418583800838,-15.576,3.39179598443067,-18.076
1000,-0.1,3,0.21418,0.009556516101593,-14.848,2.47033803354926,-17.348
1000,-0.1,3.5,0.2578,0.011372774507569,-15.258,3.21600217661618,-17.758
1000,-0.1,4,0.28784,0.011684733629827,-14.752,1.84897809613851,-17.252
1000,-0.1,4.5,0.32656,0.009542693540086,-14.69,0.828371897157309,-17.19
1000,-0.1,5,0.37302,0.003239135687186,-14.204,1.89979735761475,-16.704
10000,0.1,0.25,0.01214,0.00070922492906,-187.37,3.3535727217402,-7.37
10000,0.1,0.5,0.02446,0.001299230541513,-185.488,1.81652690593891,-5.488
10000,0.1,0.75,0.03702,0.000775886589651,-185.36,1.00707497238289,-5.36
10000,0.1,1,0.04926,0.000433589667774,-185.068,0.94385909965418,-5.068
10000,0.1,1.25,0.0614,0.000839642781187,-185.476,0.583078039373805,-5.476
10000,0.1,1.5,0.07398,0.000822800097229,-185.366,0.406607919253917,-5.366
10000,0.1,1.75,0.08638,0.000540370243444,-185.414,0.380039471634197,-5.414
10000,0.1,2,0.0982,0.000308220700148,-185.502,0.371981182319751,-5.502
10000,0.1,2.5,0.12346,0.000550454357781,-185.432,0.429150323313405,-5.432
10000,0.1,3,0.14802,0.000759605160593,-185.464,0.30286960890786,-5.464
