freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev
10,0.1,5,0.80544,0.11462433424016,0.592000000000013,13.5817624040476
15,0.1,5,0.70258,0.063061374866078,1.76399999999998,5.61738640294577
25,0.1,5,0.77584,0.084380110215619,-11.408,2.62023281408351
50,0.1,5,0.63902,0.057880756733132,-33.846,7.69458445921545
75,0.1,5,0.6375,0.025066411789484,1.88399999999999,1.76971184095039
100,0.1,5,0.6146,0.04486841873746,-31.844,3.72165688907508
150,0.1,5,0.57238,0.024934754861438,-0.738,3.72540870241105
200,0.1,5,0.61902,0.017573189807204,-28.944,2.31560575228167
250,0.1,5,0.57322,0.019720598368204,-41.106,1.77933414512284
300,0.1,5,0.54672,0.05367431415491,-51.062,3.98708163949523
400,0.1,5,0.49954,0.017529632055465,-71.554,1.27241109709087
500,0.1,5,0.46974,0.009234338092143,-84.562,1.83777582963756
750,0.1,5,0.40576,0.003403380672214,-108.518,1.21396869811375
1000,0.1,5,0.37516,0.001458766602305,-122.556,0.720853660599708
1250,0.1,5,0.36004,0.003776638717166,-132.776,0.661951659866489
1500,0.1,5,0.35098,0.008547923724508,-141.242,0.622390552627528
2000,0.1,5,0.33384,0.002176694742034,-149.852,0.428917241434754
2500,0.1,5,0.3251,0.002372762103541,-156.698,0.176550276125527
3000,0.1,5,0.31714,0.00246028453639,-161.506,0.658733633572782
3500,0.1,5,0.31002,0.00219248717214,-165.172,0.171668284782018
4000,0.1,5,0.30434,0.001209545369137,-168.032,0.304581680342072
4500,0.1,5,0.29782,0.000729383301152,-170.62,0.294788059459673
5000,0.1,5,0.29078,0.001070980858839,-172.45,0.128840987267251
6000,0.1,5,0.27912,0.001040192289916,-175.31,0.087177978870814
7000,0.1,5,0.26724,0.001043072384832,-177.096,0.134647688431699
8000,0.1,5,0.25748,0.000864291617453,-178.288,0.102810505299799
9000,0.1,5,0.24754,0.000568330889535,-178.626,0.053197744313082
10000,0.1,5,0.23962,0.000432434966209,-178.996,0.15009996668887
10,-0.1,5,0.73608,0.077902483914186,1.716,6.4926057942863
15,-0.1,5,0.65168,0.095334605469368,-0.43,4.94553839334
25,-0.1,5,0.67986,0.071950177206175,-6.82,8.43230099083281
50,-0.1,5,0.5841,0.031300559100438,-35.678,6.66214079707117
75,-0.1,5,0.63126,0.029006171757059,4.352,2.82037586147662
100,-0.1,5,0.59552,0.035307180572796,-23.916,2.85769662490615
150,-0.1,5,0.57992,0.019810527504335,13.8,4.25278732127531
200,-0.1,5,0.6025,0.017630087918102,-9.004,9.12171201036297
250,-0.1,5,0.5393,0.060680186222522,-10.456,1.43775171709165
300,-0.1,5,0.46802,0.041355314047895,-6.71,5.65345469602437
400,-0.1,5,0.49556,0.021010306994425,-17.584,2.62689550610602
500,-0.1,5,0.45062,0.010436570317878,-18.432,1.58354665229667
750,-0.1,5,0.34614,0.031631361020355,-19.604,0.932432303172729
1000,-0.1,5,0.36416,0.007280315927211,-17.846,0.356272367718857
1250,-0.1,5,0.34156,0.008951703748449,-18.198,1.33533516391953
1500,-0.1,5,0.33508,0.012417608465401,-16.516,2.39164796740658
2000,-0.1,5,0.32612,0.000925742944883,-14.854,0.284306172989613
2500,-0.1,5,0.31668,0.001310343466424,-14.04,0.216564078277077
3000,-0.1,5,0.3066,0.003111269837221,-14.118,0.48380781308284
3500,-0.1,5,0.30298,0.001611521020651,-14.51,0.218174242292714
4000,-0.1,5,0.29752,0.000496990945592,-14.704,0.227332355814125
4500,-0.1,5,0.29314,0.001563009916795,-14.866,0.307782390659375
5000,-0.1,5,0.28414,0.000882043082848,-15.084,0.123409886151799
6000,-0.1,5,0.2724,0.0006204836823,-15.462,0.06833739825308
7000,-0.1,5,0.26114,0.000712741187248,-15.35,0.301827765455732
8000,-0.1,5,0.25146,0.000610737259384,-14.948,0.110995495404093
9000,-0.1,5,0.2427,0.000339116499156,-14.478,0.16346253393362
10000,-0.1,5,0.23474,0.000181659021246,-13.808,0.124779806058513
100,0.1,0.25,0.05112,0.017369571094302,-9.92000000000002,71.8301353889856
100,0.1,0.5,0.0972,0.044107085598575,-18.782,43.0077181445377
100,0.1,0.75,0.10448,0.022983950922328,-35.436,21.2561692221341
100,0.1,1,0.1203,0.031996562315349,-36.49,20.1800123884997
100,0.1,1.25,0.17274,0.05308147511138,-36.548,7.84904898697925
100,0.1,1.5,0.15928,0.031802861506475,-29.348,9.37938803973906
100,0.1,1.75,0.21648,0.025415290673136,-33.588,5.09558338171401
100,0.1,2,0.23278,0.047546261682702,-31.656,11.3319208433522
100,0.1,2.5,0.28754,0.041002719422009,-37.28,9.11978892299597
100,0.1,3,0.37332,0.035329407014554,-32.426,4.69327497596295
100,0.1,3.5,0.40976,0.0222862738025,-33.474,5.38068118364208
100,0.1,4,0.48076,0.028571366785648,-37.19,5.21530919505258
100,0.1,4.5,0.55034,0.025941144924617,-37.214,4.16672893286808
100,0.1,5,0.5793,0.025985765334121,-33.532,3.77393958616192
100,-0.1,0.25,0.06036,0.031471066076636,-24.784,41.6679436737644
100,-0.1,0.5,0.06908,0.039399771572942,-26.136,26.8608773125525
100,-0.1,0.75,0.11156,0.022418363008927,-26.354,9.29876497175835
100,-0.1,1,0.14842,0.039600593429897,-24.392,20.582039986357
100,-0.1,1.25,0.14026,0.045368634539735,-23.034,17.7609425425567
100,-0.1,1.5,0.15988,0.023565271057215,-30.274,15.3886607604431
100,-0.1,1.75,0.20884,0.059263209497968,-21.618,7.01793915619108
100,-0.1,2,0.24294,0.0170766800052,-22.948,8.94679383913589
100,-0.1,2.5,0.3011,0.033553390290699,-30.246,6.41519134554847
100,-0.1,3,0.37138,0.047073740025624,-23.644,4.18876234704238
100,-0.1,3.5,0.47812,0.059934147195067,-29.982,3.06502365406859
100,-0.1,4,0.45764,0.018431711803303,-22.586,4.46565000867735
100,-0.1,4.5,0.55224,0.030277433841064,-27.318,2.99950329221356
100,-0.1,5,0.57776,0.056778895727198,-25.106,1.46112285588858
1000,0.1,0.25,0.02188,0.006645073363026,-128.222,6.81339636304832
1000,0.1,0.5,0.03216,0.003641840194188,-126.26,2.50500499001499
1000,0.1,0.75,0.05832,0.005529647366695,-125.566,5.38280410195281
1000,0.1,1,0.07556,0.003013801586037,-120.376,4.30814693342741
1000,0.1,1.25,0.09432,0.003697566767484,-124.842,4.97413007469648
1000,0.1,1.5,0.11054,0.004408287649417,-120.238,2.54500884084908
1000,0.1,1.75,0.12782,0.006119803918427,-122.038,1.22503877489653
1000,0.1,2,0.14976,0.006900941964689,-122.14,1.33665627593634
1000,0.1,2.5,0.1888,0.006445153217729,-122.422,2.1446258414931
1000,0.1,3,0.22482,0.006325503932494,-122.696,1.27609952589914
1000,0.1,3.5,0.25694,0.00319968748474,-123.718,1.72524491015044
1000,0.1,4,0.29278,0.004249941176063,-122.958,1.66930224944436
1000,0.1,4.5,0.33378,0.004018332987695,-122.7,1.06831643252362
1000,0.1,5,0.37222,0.007540026525152,-124.234,4.12393380160254
1000,-0.1,0.25,0.01596,0.007572185945947,-2.644,26.0173947581229
1000,-0.1,0.5,0.03888,0.005989741229803,-14.232,3.78474173491402
1000,-0.1,0.75,0.05416,0.004840247927534,-20.004,6.03890552997809
1000,-0.1,1,0.07086,0.001134900876729,-16.684,5.25841040619691
1000,-0.1,1.25,0.0888,0.003856812155135,-21.334,6.48059642316971
1000,-0.1,1.5,0.11308,0.004638642042667,-17.916,2.45351380676775
1000,-0.1,1.75,0.12872,0.004624608091504,-17.296,1.84842635774326
1000,-0.1,2,0.14078,0.005894658599105,-19.392,1.72344712712633
1000,-0.1,2.5,0.18214,0.010090242811747,-19.862,1.78397589669816
1000,-0.1,3,0.20804,0.003004663042672,-22.838,1.7758997719466
1000,-0.1,3.5,0.24148,0.003706345909383,-20.142,3.73936759359119
1000,-0.1,4,0.27622,0.003764571688785,-19.73,1.40749777974958
1000,-0.1,4.5,0.31764,0.009257861524132,-18.964,0.2775427894938
1000,-0.1,5,0.35378,0.005561204905414,-18.428,0.626554067898374
10000,0.1,0.25,0.01132,0.000481663783152,-180.744,1.1694785162627
10000,0.1,0.5,0.02248,0.000460434577329,-180.048,0.85145170150749
10000,0.1,0.75,0.03328,0.000349284983931,-180.004,0.735377454100954
10000,0.1,1,0.04428,0.000892748564827,-179.738,0.720187475592293
10000,0.1,1.25,0.05572,0.000216794833887,-180.008,0.717648939245367
10000,0.1,1.5,0.06612,0.000496990945592,-179.652,0.278513913476508
10000,0.1,1.75,0.0781,0.000489897948557,-179.78,0.238222584991432
10000,0.1,2,0.08954,0.000598331012066,-179.92,0.256904651573303
10000,0.1,2.5,0.11176,0.000642650760522,-180.14,0.24576411454889
10000,0.1,3,0.13416,0.000403732584764,-179.896,0.173002890149269
10000,0.1,3.5,0.15654,0.000676756972628,-179.924,0.193726611491555
10000,0.1,4,0.17956,0.000320936130718,-179.902,0.118827606220104
10000,0.1,4.5,0.20154,0.000492950301755,-180.024,0.104546640309481
10000,0.1,5,0.22346,0.000687749954562,-179.98,0.139283882771841
10000,-0.1,0.25,0.01058,0.00022803508502,-14.906,1.82936601039814
10000,-0.1,0.5,0.02156,0.000614817045958,-15.238,1.64248896495532
10000,-0.1,0.75,0.03258,0.000544977063738,-15.424,0.705924925186808
10000,-0.1,1,0.0437,0.000644204936336,-14.992,0.668184106365903
10000,-0.1,1.25,0.05494,0.000598331012066,-14.578,0.707792342428201
10000,-0.1,1.5,0.06528,0.000408656334834,-15.35,0.46898827277449
10000,-0.1,1.75,0.07188,0.000852642949892,-15.236,0.299966664814609
10000,-0.1,2,0.08196,0.000512835256198,-15.236,0.466615473382527
10000,-0.1,2.5,0.10366,0.000541294744109,-15.22,0.26
10000,-0.1,3,0.1245,0.000692820323028,-15.21,0.193907194296653
10000,-0.1,3.5,0.14822,0.000506951674225,-15.346,0.270795125510043
10000,-0.1,4,0.17076,0.000634822809924,-15.216,0.152905199388379
