freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev
10,10,5,0.112216,0.002124024481968,-8.392,0.809611017711596
15,10,5,0.105328,0.01125391354152,-15.492,1.42599789621163
25,10,5,0.112102,0.00237399873631,-25.378,1.33398650667838
50,10,5,0.10732,0.001381231334716,-67.928,3.48084328862993
75,10,5,0.112776,0.00188957137997,-36.148,1.55110283347044
100,10,5,0.12569,0.005577243943024,-76.578,2.63276850482529
150,10,5,0.15428,0.01110576201798,-49.364,3.15297954322573
200,10,5,0.189168,0.002056081224077,-81.342,0.493983805402569
250,10,5,0.21198,0.001588080602488,-97.16,0.263438797446391
300,10,5,0.23178,0.004508547437923,-108.284,0.888020270038926
400,10,5,0.25268,0.002362625658034,-123.67,0.186815416922693
500,10,5,0.2691,0.00060415229868,-133.888,0.255382066715734
750,10,5,0.28626,0.003607353600633,-149.58,0.636671029653462
1000,10,5,0.29722,0.000875785361832,-157.812,0.038987177379236
1250,10,5,0.29986,0.00043931765273,-163.524,0.110589330407595
1500,10,5,0.30172,0.00061400325732,-167.504,0.054129474410898
2000,10,5,0.30102,0.000408656334834,-173.094,0.050793700396801
2500,10,5,0.29826,0.000270185121722,-176.944,0.033615472627943
3000,10,5,0.2943,0.000387298334621,-179.884,0.044497190922574
3500,10,5,0.28976,0.000378153408024,-182.184,0.040373258476373
4000,10,5,0.28472,0.000311448230048,-184.01,0.047434164902526
4500,10,5,0.27916,0.000415932686862,-185.502,0.058906705900093
5000,10,5,0.27404,0.000181659021246,-186.748,0.055856960175076
6000,10,5,0.26258,0.00056302753041,-188.504,0.051283525619832
7000,10,5,0.25068,0.000363318042492,-189.648,0.068337398253079
8000,10,5,0.24116,0.000350713558335,-190.206,0.050299105359837
9000,10,5,0.2306,0.000494974746831,-191.662,0.063796551630946
10000,10,5,0.22206,0.000260768096208,-190.098,0.103053384223906
10,-10,5,0.11028,0.001464035518695,2.314,1.60199250934578
15,-10,5,0.107464,0.009422862091743,6.734,6.07276131590893
25,-10,5,0.111602,0.001447591102487,2.166,0.950515649529244
50,-10,5,0.10633,0.00278269653394,-13.732,3.70147538152018
75,-10,5,0.113208,0.000858207434132,35.074,0.210665611811707
100,-10,5,0.123382,0.003607529625658,10.35,1.07691689558666
150,-10,5,0.152826,0.003659361966245,58.868,2.5635658758846
200,-10,5,0.186248,0.001174423262712,42.35,0.442549432267177
250,-10,5,0.2082,0.002589401475245,37.224,0.182290976189168
300,-10,5,0.22766,0.002860594343838,32.638,2.30644098125228
400,-10,5,0.2525,0.000883176086633,26.732,0.296175623574932
500,-10,5,0.26822,0.001663430190901,22.432,0.294821980184653
750,-10,5,0.288,0.000663324958071,14.992,0.281371640361995
1000,-10,5,0.29552,0.000414728827067,10.192,0.113666177907063
1250,-10,5,0.29924,0.000743639697703,7.026,0.081424811943289
1500,-10,5,0.30038,0.000589067059001,4.48,0.14142135623731
2000,-10,5,0.29986,0.000450555213043,0.938,0.109863551735778
2500,-10,5,0.29696,0.000181659021246,-1.774,0.036469165057621
3000,-10,5,0.29332,0.000192353840617,-3.88,0.076157731058639
3500,-10,5,0.28812,0.000148323969742,-5.546,0.048270073544589
4000,-10,5,0.28364,0.000296647939484,-6.964,0.086486993241759
4500,-10,5,0.27804,0.000167332005307,-8.17,0.06745368781616
5000,-10,5,0.27262,0.000130384048104,-9.14,0.073484692283495
6000,-10,5,0.26092,0.000258843582111,-10.446,0.055946402922797
7000,-10,5,0.24962,0.000130384048104,-11.254,0.06228964600959
8000,-10,5,0.2402,0.000367423461417,-11.696,0.060663003552412
9000,-10,5,0.23022,0.000370135110466,-11.662,0.063796551630946
10000,-10,5,0.22178,0.000303315017762,-11.238,0.056302753041037
100,10,0.25,0.0060592,0.001552389351935,-78.38,11.0942034414373
100,10,0.5,0.0137398,0.003247073328399,-87.08,7.68093093316168
