freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev
10,1,5,3.0328,0.216585318,-5.142,2.542384707
15,1,5,3.0914,0.179953605,-9.8,2.092856899
25,1,5,2.9902,0.109323831,-11.796,1.102193268
50,1,5,2.5222,0.088981459,-41.754,2.004365236
75,1,5,2.5648,0.067184075,-2.59,1.202634608
100,1,5,2.41,0.06260591,-37.152,1.167955479
150,1,5,2.3978,0.037705437,-1.09,0.985773808
200,1,5,2.3712,0.065136012,-24.208,0.823814299
250,1,5,2.2494,0.025948025,-36.236,1.626785173
300,1,5,2.07962,0.074480011,-44.426,1.483957547
400,1,5,1.77028,0.018353664,-56.33,0.999774975
500,1,5,1.52994,0.008298373,-66.032,0.93875982
750,1,5,1.14212,0.013666272,-82.356,0.467418442
1000,1,5,0.90708,0.007780231,-93.786,0.504905932
1250,1,5,0.7519,0.009490258,-102.404,0.394309523
1500,1,5,0.65478,0.017294999,-110.046,1.548718825
2000,1,5,0.53402,0.002378445,-121.974,0.205255938
2500,1,5,0.46196,0.002589015,-131.492,0.190184121
3000,1,5,0.4149,0.001385641,-139.112,0.211707345
3500,1,5,0.38252,0.001047378,-145.252,0.1300769
4000,1,5,0.35864,0.001161034,-150.766,0.114804181
4500,1,5,0.33868,0.001333042,-155.334,0.305908483
5000,1,5,0.32278,0.00142197,-158.94,0.060827625
6000,1,5,0.29772,0.00051672,-164.614,0.118869677
7000,1,5,0.27916,0.00074027,-168.714,0.082036577
8000,1,5,0.2609,0.000452769,-171.506,0.071624018
9000,1,5,0.24844,0.000581378,-173.486,0.107144762
10000,1,5,0.23794,0.000350714,-174.766,0.127003937
10,-1,5,2.8948,0.172051445794564,-4.016,6.0550004128819
15,-1,5,2.9566,0.121631821494213,-7.826,2.65025093151573
25,-1,5,2.9096,0.221718966261346,-10.586,2.16587857462047
50,-1,5,2.5492,0.061997580597956,-42.088,2.05406182964389
75,-1,5,2.6272,0.091824288725805,-0.026,1.21345786906674
100,-1,5,2.4286,0.034428186127068,-33.252,1.40508718590698
150,-1,5,2.3682,0.035667912750819,5.024,2.35942365843865
200,-1,5,2.3926,0.031093407661432,-15.554,2.53722880324184
250,-1,5,2.2252,0.038957669334805,-25.656,0.58526062570448
300,-1,5,2.0816,0.038069672969439,-33.362,1.72254753200021
400,-1,5,1.75762,0.022686493779339,-41.014,0.45593859235647
500,-1,5,1.51632,0.016328257714772,-46.452,0.867767249900571
750,-1,5,1.1277,0.012974590552306,-54.352,0.764833315173965
1000,-1,5,0.8789,0.003891015291669,-56.22,0.205791156272567
1250,-1,5,0.72984,0.008143279437671,-56.47,0.416112965431262
1500,-1,5,0.62326,0.007478502523901,-55.34,0.799343480613935
2000,-1,5,0.51184,0.003330615558722,-53.038,0.144118007202429
2500,-1,5,0.43822,0.002296083622171,-49.982,0.082885463140408
3000,-1,5,0.38816,0.000482700735446,-47.01,0.278926513619626
3500,-1,5,0.35562,0.000756306816048,-44.708,0.133304163475865
4000,-1,5,0.3324,0.002993325909419,-42.31,0.101734949746877
4500,-1,5,0.31182,0.000641872261435,-40.286,0.252051582022409
5000,-1,5,0.29474,0.000642650760522,-38.348,0.206324986368593
6000,-1,5,0.27234,0.000512835256198,-35.248,0.13292855223766
7000,-1,5,0.25174,0.001043072384832,-32.434,0.123814377194251
8000,-1,5,0.23808,0.000414728827067,-29.966,0.199198393567819
9000,-1,5,0.22668,0.000725947656515,-27.576,0.074699397587933
10000,-1,5,0.2169,0.00025495097568,-25.278,0.084970583144992
100,1,0.25,0.16448,0.051052297,-39.744,17.55436214
100,1,0.5,0.36234,0.063440862,-33.818,20.39548774
100,1,0.75,0.36034,0.044104569,-33.998,17.82978042
100,1,1,0.51468,0.081042871,-41.01,13.23488572
100,1,1.25,0.60814,0.043261565,-37.5,3.710013477
100,1,1.5,0.73012,0.106622591,-41.872,5.18374575
100,1,1.75,0.87012,0.064350579,-36.776,3.491408025
100,1,2,0.99086,0.092086334,-34.226,5.282866646
100,1,2.5,1.24688,0.062760991,-36.948,3.124239107
100,1,3,1.43734,0.072289923,-37.68,2.580552266
100,1,3.5,1.74292,0.062771944,-39.768,3.119963141
100,1,4,2.0365,0.075715454,-37.314,1.39743694
100,1,4.5,2.2482,0.078023714,-38.174,2.383679928
100,1,5,2.5632,0.099733144,-36.736,2.466805627
100,-1,0.25,0.14888,0.049755472,-37.894,24.43118663
100,-1,0.5,0.2353,0.065816867,-32.906,13.45389646
100,-1,0.75,0.34698,0.086084941,-33.74,7.488300875
100,-1,1,0.48926,0.064868968,-35.866,7.915480402
100,-1,1.25,0.62558,0.039003551,-31.33,7.922584805
100,-1,1.5,0.7808,0.064074683,-35.614,11.25690366
100,-1,1.75,0.83102,0.041019654,-33.55,1.636642905
100,-1,2,0.99392,0.072164063,-33.86,2.079963942
100,-1,2.5,1.31028,0.103475852,-32.81,2.669204001
100,-1,3,1.5246,0.078114307,-32.172,1.654091896
100,-1,3.5,1.74478,0.096772734,-33.934,2.542966771
100,-1,4,2.01152,0.061488836,-33.52,2.078978114
100,-1,4.5,2.2744,0.092153676,-33.746,1.48348576
100,-1,5,2.4848,0.078238098,-34.524,1.864760038
1000,1,0.25,0.04528,0.007691034,-89.234,7.447488167
1000,1,0.5,0.08912,0.003759255,-96.87,0.940079784
1000,1,0.75,0.13514,0.005009291,-93.446,2.982084841
1000,1,1,0.19002,0.005296886,-94.502,1.863389385
1000,1,1.25,0.22992,0.005223696,-93.272,2.311475719
1000,1,1.5,0.28054,0.006610068,-93.832,1.020916255
1000,1,1.75,0.32672,0.004097194,-94.052,1.69840219
1000,1,2,0.37656,0.00890073,-93.998,0.675551626
1000,1,2.5,0.46316,0.00876915,-93.79,0.565154846
1000,1,3,0.55568,0.011918557,-93.574,0.604383984
1000,1,3.5,0.64794,0.007524826,-93.854,0.69629735
1000,1,4,0.75158,0.007922878,-93.7,0.562449998
1000,1,4.5,0.84532,0.006859446,-93.956,0.284481985
1000,1,5,0.93154,0.007482513,-94.012,0.606976112
1000,-1,0.25,0.04512,0.00517175,-51.82,5.999474977
1000,-1,0.5,0.09492,0.003798947,-56.098,4.928992798
1000,-1,0.75,0.13736,0.012161538,-57.028,4.231899101
1000,-1,1,0.18632,0.004767809,-55.304,2.852065918
1000,-1,1.25,0.22938,0.007269938,-54.842,1.299853838
1000,-1,1.5,0.27344,0.007341866,-56.798,1.789600514
1000,-1,1.75,0.31856,0.007171332,-56.518,1.507620642
1000,-1,2,0.36666,0.003977813,-56.126,0.726484687
1000,-1,2.5,0.45658,0.007747064,-55.53,0.783326241
1000,-1,3,0.54878,0.007683554,-55.63,0.681872422
1000,-1,3.5,0.63462,0.009235637,-55.742,0.674662879
1000,-1,4,0.72626,0.006396718,-56.22,0.602079729
1000,-1,4.5,0.82348,0.007015483,-56.194,0.611988562
1000,-1,5,0.89828,0.007176489,-55.824,0.544407935
10000,1,0.25,0.011577,0.000364327,-175.744,1.068049624
10000,1,0.5,0.02381,0.000452659,-174.298,0.862160078
10000,1,0.75,0.035864,0.000324392,-174.374,0.401534556
10000,1,1,0.047756,0.00029031,-174.868,0.532325089
10000,1,1.25,0.059212,0.000551063,-174.704,0.5325223
10000,1,1.5,0.071092,0.000121532,-174.856,0.314372391
10000,1,1.75,0.082848,0.000248133,-175.164,0.36177341
10000,1,2,0.094406,0.000181466,-174.722,0.168730554
10000,1,2.5,0.118474,0.000446744,-175.126,0.151095996
10000,1,3,0.14208,0.000789715,-174.88,0.099247166
10000,1,3.5,0.165408,0.000631126,-174.926,0.177988764
10000,1,4,0.190602,0.000312522,-174.874,0.106677083
10000,1,4.5,0.21564,0.000328634,-174.896,0.095551033
10000,1,5,0.2404,0.000458258,-174.818,0.131984848
10000,-1,0.25,0.0106016,0.000479702,-24.664,2.837460132
10000,-1,0.5,0.021554,0.000408815,-24.298,1.108498985
10000,-1,0.75,0.032866,0.000233088,-24.226,1.324322468
10000,-1,1,0.043254,0.000448587,-24.744,0.627797738
